,n_obs,mean,std,excess_kurtosis,skew,acf_lag1_returns,acf_lag1_squared_returns,leverage_corr_rt_vs_rsq_tplus1
AAPL,5999.0,0.0003173140743441649,0.005486978778111917,2.162968114608523,-0.0449636099090842,0.023348397648219235,0.0827759168997503,-0.002847776166197055
JPM,5999.0,-3.3521657352200484e-05,0.009513206440152166,8.146125946357,-0.22596668414606716,-0.003962901222430377,0.277227038165947,-0.07458115065529722
BTC-USD,5999.0,-7.631764520519729e-05,0.012211632667298246,3.5913565074725957,0.008500037973122546,0.00754064505208973,0.14401350758963063,-0.03651535619452057
