ticker,train_size,seed,model,rmse,directional_accuracy,num_params,elapsed_s
SIM1,250,0,CRBM,0.012842468917369843,0.4827586206896552,35,0.09192299842834473
SIM1,250,0,QCRBM,0.01303795538842678,0.4938820912124583,84,7.416090250015259
SIM1,250,0,QFeatureQRBM,0.012584960088133812,0.5027808676307007,32,9.01308560371399
SIM1,250,0,QQRBM,0.012524555437266827,0.5061179087875417,39,32.56666684150696
SIM1,250,1,CRBM,0.01289298851042986,0.5139043381535039,35,0.10538864135742188
SIM1,250,1,QCRBM,0.012942948378622532,0.5050055617352615,84,7.704708099365234
SIM1,250,1,QFeatureQRBM,0.012537004426121712,0.5016685205784205,32,9.333550453186035
SIM1,250,1,QQRBM,0.012528136372566223,0.492769744160178,39,32.02683353424072
SIM1,500,0,CRBM,0.013101905584335327,0.4961067853170189,35,0.19348978996276855
SIM1,500,0,QCRBM,0.013622208498418331,0.4883203559510567,84,15.184445142745972
SIM1,500,0,QFeatureQRBM,0.01270607952028513,0.5005561735261401,32,17.59317970275879
SIM1,500,0,QQRBM,0.012597950175404549,0.492769744160178,39,67.92909359931946
SIM1,500,1,CRBM,0.012953735888004303,0.4972191323692992,35,0.1853961944580078
SIM1,500,1,QCRBM,0.013264209032058716,0.4994438264738598,84,18.462538242340088
SIM1,500,1,QFeatureQRBM,0.012601678259670734,0.4949944382647386,32,19.048459768295288
SIM1,500,1,QQRBM,0.012564379721879959,0.492769744160178,39,62.23422336578369
SIM2,250,0,CRBM,0.021072784438729286,0.48053392658509453,35,0.09550786018371582
SIM2,250,0,QCRBM,0.021232061088085175,0.474972191323693,84,7.650214433670044
SIM2,250,0,QFeatureQRBM,0.02056974358856678,0.4994438264738598,32,9.32194995880127
SIM2,250,0,QQRBM,0.020690616220235825,0.4938820912124583,39,31.232877731323242
SIM2,250,1,CRBM,0.020983990281820297,0.4727474972191324,35,0.09696102142333984
SIM2,250,1,QCRBM,0.02104344591498375,0.4694104560622914,84,7.739454984664917
SIM2,250,1,QFeatureQRBM,0.020598720759153366,0.4838709677419355,32,9.142060279846191
SIM2,250,1,QQRBM,0.02056843228638172,0.5061179087875417,39,31.20793652534485
SIM2,500,0,CRBM,0.021092155948281288,0.4961067853170189,35,0.18974041938781738
SIM2,500,0,QCRBM,0.021890435367822647,0.4883203559510567,84,15.75216007232666
SIM2,500,0,QFeatureQRBM,0.0207102932035923,0.5105672969966629,32,19.745963096618652
SIM2,500,0,QQRBM,0.020585685968399048,0.5061179087875417,39,68.1549391746521
SIM2,500,1,CRBM,0.021159499883651733,0.492769744160178,35,0.22212862968444824
SIM2,500,1,QCRBM,0.021336518228054047,0.4938820912124583,84,16.808841466903687
SIM2,500,1,QFeatureQRBM,0.020670495927333832,0.4827586206896552,32,20.430838584899902
SIM2,500,1,QQRBM,0.020565766841173172,0.5105672969966629,39,65.18782639503479
SIM3,250,0,CRBM,0.01967303827404976,0.5005561735261401,35,0.10960698127746582
SIM3,250,0,QCRBM,0.01988147757947445,0.5050055617352615,84,7.594324350357056
SIM3,250,0,QFeatureQRBM,0.019119542092084885,0.5027808676307007,32,9.169754266738892
